Number of Buckets,Maximum Nodes,Minimum Nodes,Average Nodes,Standard Deviation
2,348,290,319.0,29.0
4,195,142,159.5,20.862646045025066
8,113,69,79.75,13.273563952458284
16,67,31,39.875,8.53577032258952
32,37,12,19.9375,5.419510471435589
64,22,0,9.96875,4.186916937019411
128,18,0,4.984375,3.455033409299395
256,11,0,2.4921875,2.5279564800137977
512,10,0,1.24609375,1.7924495435606933
1024,10,0,0.623046875,1.3104508161517296
