ProblemSize,Runtime
1,8.4E-5
2,8.0E-5
3,9.2E-5
4,1.12E-4
5,1.18E-4
6,4.12E-4
7,6.6E-5
8,8.0E-5
9,9.4E-5
10,8.8E-5
11,9.8E-5
12,1.0E-4
13,8.4E-5
14,8.2E-5
15,8.0E-5
16,1.02E-4
17,1.48E-4
18,8.6E-5
19,2.46E-4
20,1.06E-4
21,1.36E-4
22,1.3E-4
23,1.32E-4
24,1.44E-4
25,1.32E-4
26,2.0E-4
27,0.001284
28,2.52E-4
29,2.14E-4
30,1.42E-4
31,3.08E-4
32,3.16E-4
33,3.7E-4
34,4.08E-4
35,4.5E-4
36,7.5E-4
37,8.24E-4
38,9.8E-4
39,0.001028
40,8.6E-4
