ProblemSize,Runtime
0,0.0006000000000172534
1,0.0013000000000928935
2,0.003199999999980996
3,0.002300000000010627
4,0.002500000000016378
5,0.004099999999951365
6,0.004600000000021254
7,0.006500000000020378
8,0.00889999999997837
9,0.012200000000017752
10,0.03489999999994886
11,0.053999999999998494
12,0.09190000000003362
13,0.07060000000003175
14,0.1991000000000076
15,0.16289999999996585
16,0.2836000000000505
17,0.43039999999994194
18,1.3950999999999825
19,1.7146000000000106
20,2.898199999999962
21,3.3870999999999762
22,5.498499999999962
23,8.947599999999944
24,16.585300000000025
25,35.63069999999979
26,43.83969999999992
27,72.45329999999983
28,123.25140000000002
29,218.6318999999999
30,323.2416
31,534.1077000000002
32,877.5887
33,1459.6139999999998
34,2109.4947999999995
35,3655.2898999999998
36,5430.650200000001
37,9024.813899999997
38,12638.6251
39,21103.190000000006
