ProblemSize,Runtime
1,1.12E-4
2,5.6E-5
3,1.64E-4
4,3.26E-4
5,2.26E-4
6,1.14E-4
7,1.58E-4
8,3.04E-4
9,4.86E-4
10,3.58E-4
11,5.26E-4
12,8.16E-4
13,8.08E-4
14,0.001072
15,0.001692
16,0.002516
17,0.00601
18,0.007244
19,0.014748
20,0.017622
21,0.02855
22,0.046942
23,0.073758
24,0.124258
25,0.190724
26,0.328736
27,0.508714
28,0.803682
29,1.29623
30,2.080094
31,3.354164
32,5.402684
33,8.954778
34,14.340352
35,22.853206
36,39.685608
37,61.614616
38,116.03922
39,182.063372
40,290.547184
