ProblemSize,Runtime
0,0.0009000000000813912
1,0.0011000000000871424
2,0.0025999999999637424
3,0.0025999999999637424
4,0.0032999999999283602
5,0.0032999999999283602
6,0.0047000000000796405
7,0.0067000000000261295
8,0.008800000000031005
9,0.012799999999923983
10,0.019199999999996997
11,0.030200000000091265
12,0.04780000000004225
13,0.07089999999998486
14,0.1166999999999696
15,0.18039999999996947
16,0.35060000000008973
17,0.4703000000000346
18,0.7441999999999727
19,1.3995999999999453
20,2.13260000000004
21,3.4471999999999836
22,4.8983999999999694
23,9.2333
24,14.411399999999963
25,24.06660000000005
26,38.26750000000012
27,73.49010000000011
28,87.79629999999995
29,167.88880000000006
30,277.5388000000001
31,438.4277000000001
32,813.1480999999998
33,1154.3269999999998
34,1657.2623999999996
35,2915.399
36,5294.7273
37,8614.9388
38,13295.7708
39,21121.2686
