ProblemSize,Runtime
0,0.0007999999999119822
1,0.0009999999999177334
2,0.0016999999999933735
3,0.0011999999999234845
4,0.0012999999999818712
5,0.0014999999999876223
6,0.001400000000040258
7,0.0016999999999933735
8,0.001400000000040258
9,0.0016999999999933735
10,0.0018999999999991246
11,0.0018999999999991246
12,0.0020000000000575113
13,0.0021000000000048757
14,0.0025999999999637424
15,0.002700000000022129
16,0.005900000000003125
17,0.014999999999987246
18,0.0042000000000097515
19,0.0034999999999341114
20,0.004000000000004
21,0.003199999999980996
22,0.004099999999951365
23,0.0036999999999398625
24,0.007700000000054885
25,0.004000000000115023
26,0.0036000000001035204
27,0.003700000000161907
28,0.004000000000115023
29,0.0037999999999982492
30,0.0036999999999398625
31,0.0039000000002786805
32,0.003699999999717818
33,0.0039999999996709334
34,0.004500000000184912
35,0.003899999999390502
36,0.004099999999951365
37,0.004400000001680837
38,0.0040000000041118255
39,0.004400000001680837
