Number of Buckets,Maximum Nodes,Minimum Nodes,Average Nodes,Standard Deviation
2,500,402,451.0,49.0
4,299,191,225.5,43.02034402465885
8,198,95,112.75,32.47210341200582
16,132,33,56.375,21.3010416411968
32,72,10,28.1875,11.867596376267606
64,37,3,14.09375,7.1320551692692336
128,26,0,7.046875,4.927377876150255
256,16,0,3.5234375,3.229417622976897
512,13,0,1.76171875,2.1409920704893883
1024,10,0,0.880859375,1.4768608639525287
